"customer_state","total_orders","total_revenue","avg_order_value"
SP,41745,5998226.96,137.50
RJ,12852,2144379.71,158.53
MG,11635,1872257.26,154.71
RS,5466,890898.54,157.18
PR,5045,811156.38,154.15
SC,3637,623086.43,165.98
BA,3380,616645.82,170.82
DF,2140,355141.08,161.13
GO,2020,350092.31,165.76
ES,2033,325967.55,154.71
PE,1652,324850.44,187.99
CE,1336,279464.03,199.90
PA,975,218295.85,215.92
MT,907,187029.29,195.23
MA,747,152523.02,198.86
PB,536,141545.72,248.33
MS,715,137534.84,186.87
PI,495,108523.97,207.11
RN,485,102718.13,196.78
AL,413,96962.06,227.08
SE,350,75246.25,208.44
TO,280,61485.33,204.27
RO,253,60866.20,233.20
AM,148,27966.93,181.60
AC,81,19680.62,234.29
AP,68,16262.80,232.33
RR,46,10064.62,218.80
